title,rating,key,added_at,release_date,file_size,server,Action
Irréversible - Inversion intégrale,0,/library/metadata/254065,2022-08-31,2020-08-26,1.57 Go,Films,
Ca Il est revenu ,0,/library/metadata/296325,2023-05-15,2017-09-25,4.01 Go,Films,
Drone Games,0,/library/metadata/305875,2023-10-19,2023-10-19,2.92 Go,Films,
Multiverse,0,/library/metadata/305584,2023-10-19,2021-07-31,4.84 Go,Films,
The Tower,0,/library/metadata/306699,2023-10-19,2023-06-24,4.32 Go,Films,
Insubmersible,0,/library/metadata/306242,2023-11-03,2023-10-19,4.09 Go,Films,
Mon beau-frère est un vampire,0,/library/metadata/308502,2023-12-25,2023-12-24,2.18 Go,Films,
