title,rating,key,added_at,release_date,local_file_size,remote_file_size,largest_file_size,server
Men in Black: International,5.9,/library/metadata/234249,2022-07-01,2019-06-12,3.67 Go,1.75 Go,3.67 Go,Mine
Miller's Girl,6.8,/library/metadata/313957,2024-04-01,2024-01-24,1.65 Go,2.91 Go,2.91 Go,Friend
Miss Peregrine et les enfants particuliers,6.8,/library/metadata/227373,2022-05-31,2016-09-27,2.83 Go,4.52 Go,4.52 Go,Friend
Mission : Impossible - Dead Reckoning Partie 1,7.7,/library/metadata/306073,2023-10-27,2023-07-08,2.09 Go,13.10 Go,13.10 Go,Friend
Mission : Impossible - Protocole Fantôme,7.1,/library/metadata/300782,2023-07-13,2011-12-14,1.31 Go,8.73 Go,8.73 Go,Friend
Mission : Impossible - Rogue Nation,7.2,/library/metadata/300790,2023-07-13,2015-07-28,1.30 Go,5.46 Go,5.46 Go,Friend
Mourir peut attendre,7.4,/library/metadata/231471,2022-06-27,2021-09-29,4.81 Go,3.06 Go,4.81 Go,Mine
Mystère à Venise,6.7,/library/metadata/306150,2023-10-31,2023-09-13,2.39 Go,2.89 Go,2.89 Go,Friend
Nicky Larson,0.0,/library/metadata/314636,2024-04-25,2024-04-25,4.97 Go,0.93 Go,4.97 Go,Mine
Nouveau départ,6.5,/library/metadata/309620,2024-01-27,2023-09-27,2.61 Go,4.37 Go,4.37 Go,Friend
Oblivion,6.6,/library/metadata/300390,2023-07-10,2013-04-10,1.60 Go,4.54 Go,4.54 Go,Friend
Oppenheimer,8.1,/library/metadata/306625,2023-11-16,2023-07-19,2.19 Go,2.54 Go,2.54 Go,Friend
Paul,6.7,/library/metadata/305671,2023-10-19,2011-02-14,1.54 Go,4.36 Go,4.36 Go,Friend
La Planète des singes,5.7,/library/metadata/227292,2022-05-31,2001-07-26,3.38 Go,3.38 Go,3.38 Go,BOTH
La Planète des singes : L'Affrontement,7.3,/library/metadata/295819,2022-05-31,2014-07-09,3.32 Go,3.32 Go,3.32 Go,BOTH
La Planète des singes : Les Origines,7.3,/library/metadata/295856,2022-05-31,2011-08-03,2.86 Go,2.86 Go,2.86 Go,BOTH
La Planète des singes : Suprématie,7.2,/library/metadata/227462,2022-05-31,2017-07-11,3.81 Go,3.81 Go,3.81 Go,BOTH
Polisse,7.8,/library/metadata/227617,2022-06-05,2011-10-19,1.64 Go,8.73 Go,8.73 Go,Friend
Premier Contact,7.6,/library/metadata/234591,2022-07-17,2016-11-10,6.27 Go,4.37 Go,6.27 Go,Mine
Prometheus,6.6,/library/metadata/316700,2024-07-22,2012-05-30,4.51 Go,3.73 Go,4.51 Go,Mine
Rebel Moon – Partie 2 : L'Entailleuse,6.1,/library/metadata/314987,2024-05-06,2024-04-19,1.92 Go,1.92 Go,1.92 Go,BOTH
Requiem for a Dream,8.0,/library/metadata/304505,2023-10-05,2000-11-03,5.10 Go,3.86 Go,5.10 Go,Mine
Retour vers le futur,8.3,/library/metadata/316497,2024-07-18,1985-07-03,3.68 Go,2.75 Go,3.68 Go,Mine
Retour vers le futur II,7.8,/library/metadata/316498,2024-07-18,1989-11-22,3.42 Go,2.56 Go,3.42 Go,Mine
Retour vers le futur III,7.5,/library/metadata/316499,2024-07-18,1990-05-25,3.75 Go,2.81 Go,3.75 Go,Mine
Road House,6.7,/library/metadata/313763,2024-03-21,2024-03-21,5.81 Go,5.81 Go,5.81 Go,BOTH
Rock,7.1,/library/metadata/308678,2023-12-28,1996-06-07,6.33 Go,2.56 Go,6.33 Go,Mine
Role Play,6.1,/library/metadata/309324,2024-01-18,2024-01-04,1.98 Go,1.98 Go,1.98 Go,BOTH
S.O.S. Fantômes,5.4,/library/metadata/314915,2024-05-06,2016-07-11,7.20 Go,2.27 Go,7.20 Go,Mine
Scary Movie,6.3,/library/metadata/291157,2022-11-30,2000-07-07,2.11 Go,2.11 Go,2.11 Go,BOTH
Scary Movie 2,5.8,/library/metadata/291160,2022-11-30,2001-07-04,2.45 Go,2.45 Go,2.45 Go,BOTH
Scary Movie 3,6.0,/library/metadata/291161,2022-11-30,2003-10-23,2.54 Go,2.54 Go,2.54 Go,BOTH
Scary Movie 4,5.5,/library/metadata/291162,2022-11-30,2006-04-12,2.50 Go,2.50 Go,2.50 Go,BOTH
Scream,6.7,/library/metadata/292109,2023-01-09,2022-01-12,1.70 Go,1.21 Go,1.70 Go,Mine
Seul sur Mars,7.7,/library/metadata/254720,2022-09-09,2015-09-30,5.46 Go,1.63 Go,5.46 Go,Mine
Seven,8.4,/library/metadata/309218,2024-01-16,1995-09-22,18.38 Go,2.55 Go,18.38 Go,Mine
Sexcrimes,6.3,/library/metadata/227848,2022-06-08,1998-03-20,5.49 Go,2.09 Go,5.49 Go,Mine
She Said,7.3,/library/metadata/291352,2022-12-07,2022-11-17,1.48 Go,4.50 Go,4.50 Go,Friend
Sin City : J'ai tué pour elle,6.4,/library/metadata/235702,2022-08-24,2014-08-21,5.50 Go,3.61 Go,5.50 Go,Mine
Solo: A Star Wars Story,6.6,/library/metadata/291864,2023-01-01,2018-05-23,4.72 Go,3.67 Go,4.72 Go,Mine
Spider-Man : Far From Home,7.5,/library/metadata/295859,2022-05-02,2019-06-28,5.26 Go,2.49 Go,5.26 Go,Mine
Spider-Man : Homecoming,7.3,/library/metadata/295860,2021-10-29,2017-07-05,4.71 Go,2.35 Go,4.71 Go,Mine
Star Trek,7.4,/library/metadata/304437,2023-10-05,2009-05-06,7.31 Go,8.74 Go,8.74 Go,Friend
Stargate : la porte des étoiles,7.0,/library/metadata/291708,2022-12-27,1994-10-28,4.27 Go,4.39 Go,4.39 Go,Friend
T2 Trainspotting,6.9,/library/metadata/304506,2023-10-05,2017-01-27,2.67 Go,2.78 Go,2.78 Go,Friend
Ted 2,6.3,/library/metadata/297663,2023-05-26,2015-06-25,2.76 Go,4.37 Go,4.37 Go,Friend
Terminator,7.7,/library/metadata/315552,2024-05-27,1984-10-26,2.47 Go,2.47 Go,2.47 Go,BOTH
Terminator 2 : Le Jugement dernier,8.1,/library/metadata/315553,2024-05-27,1991-07-03,3.46 Go,3.46 Go,3.46 Go,BOTH
Terminator 3 : Le Soulèvement des machines,6.2,/library/metadata/315558,2024-05-27,2003-07-02,2.85 Go,2.85 Go,2.85 Go,BOTH
Terminator Genisys,5.9,/library/metadata/315560,2024-05-27,2015-06-24,3.29 Go,3.29 Go,3.29 Go,BOTH
Terminator Renaissance,6.1,/library/metadata/315559,2024-05-27,2009-05-21,3.02 Go,3.02 Go,3.02 Go,BOTH
Thor,6.8,/library/metadata/295867,2021-10-29,2011-04-21,7.35 Go,4.37 Go,7.35 Go,Mine
Thor : Le Monde des ténèbres,6.5,/library/metadata/295868,2021-10-29,2013-10-30,7.08 Go,8.74 Go,8.74 Go,Friend
Thor : Ragnarok,7.6,/library/metadata/295869,2021-10-29,2017-10-24,7.86 Go,2.47 Go,7.86 Go,Mine
Top Gun,7.0,/library/metadata/227167,2022-05-31,1986-05-16,3.92 Go,2.83 Go,3.92 Go,Mine
Top Gun : Maverick,8.3,/library/metadata/235694,2022-08-23,2022-05-21,7.78 Go,23.25 Go,23.25 Go,Friend
TRON,6.7,/library/metadata/292540,2023-01-24,1982-07-09,2.71 Go,0.68 Go,2.71 Go,Mine
"Twilight, chapitre 1 : Fascination",6.3,/library/metadata/291447,2022-12-16,2008-11-20,3.36 Go,4.09 Go,4.09 Go,Friend
"Twilight, chapitre 2 : Tentation",6.0,/library/metadata/291454,2022-12-16,2009-11-18,3.60 Go,4.39 Go,4.39 Go,Friend
"Twilight, chapitre 3 : Hésitation",6.2,/library/metadata/291455,2022-12-16,2010-06-30,3.33 Go,4.16 Go,4.16 Go,Friend
Valérian et la Cité des Mille Planètes,6.6,/library/metadata/231130,2022-06-27,2017-07-20,5.05 Go,3.54 Go,5.05 Go,Mine
Venom,6.8,/library/metadata/316478,2024-07-18,2018-10-02,3.93 Go,2.06 Go,3.93 Go,Mine
Vesper Chronicles,6.5,/library/metadata/291401,2022-12-13,2022-08-14,0.50 Go,7.40 Go,7.40 Go,Friend
Wonka,7.1,/library/metadata/309480,2024-01-20,2023-12-06,6.16 Go,3.76 Go,6.16 Go,Mine
World War Z,6.8,/library/metadata/301210,2023-07-30,2013-06-19,5.20 Go,9.84 Go,9.84 Go,Friend
Yo mama,6.8,/library/metadata/306420,2023-11-05,2023-07-05,2.21 Go,2.21 Go,2.21 Go,BOTH
